ID	Term	Type	Preferred_form
ECK120002398	cas2	GENE	cas2
ECK120002345	cas3	GENE	cas3
ECK120003995	casA	GENE	casA
ECK120003994	casB	GENE	casB
ECK120003993	casC	GENE	casC
ECK120003992	casD	GENE	casD
ECK120003991	casE	GENE	casE
ECK120003670	cbeA	GENE	cbeA
ECK120003657	cbl	GENE	cbl
ECK120002082	cbpA	GENE	cbpA
ECK120002083	cbpM	GENE	cbpM
ECK120001657	cbrA	GENE	cbrA
ECK120001665	cbrB	GENE	cbrB
ECK120001666	cbrC	GENE	cbrC
ECK120003671	cbtA	GENE	cbtA
ECK120000132	cca	GENE	cca
ECK120001971	ccmA	GENE	ccmA
ECK120001970	ccmB	GENE	ccmB
ECK120001969	ccmC	GENE	ccmC
ECK120002065	ccmD	GENE	ccmD
ECK120001968	ccmE	GENE	ccmE
ECK120001967	ccmF	GENE	ccmF
ECK120001966	ccmG	GENE	ccmG
ECK120001965	ccmH	GENE	ccmH
ECK120002210	cdaR	GENE	cdaR
ECK120000133	cdd	GENE	cdd
ECK120000134	cdh	GENE	cdh
ECK120000135	cdsA	GENE	cdsA
ECK120003524	cedA	GENE	cedA
ECK120001485	cfa	GENE	cfa
ECK120001691	chaA	GENE	chaA
ECK120002264	chaB	GENE	chaB
ECK120002265	chaC	GENE	chaC
ECK120000138	chbA	GENE	chbA
ECK120000136	chbB	GENE	chbB
ECK120000137	chbC	GENE	chbC
ECK120000140	chbF	GENE	chbF
ECK120002087	chbG	GENE	chbG
ECK120000139	chbR	GENE	chbR
ECK120000142	cheA	GENE	cheA
ECK120000143	cheB	GENE	cheB
ECK120000144	cheR	GENE	cheR
ECK120000145	cheW	GENE	cheW
ECK120000146	cheY	GENE	cheY
ECK120000147	cheZ	GENE	cheZ
ECK120001215	chiA	GENE	chiA
ECK120002973	chiP	GENE	chiP
ECK120003525	cho	GENE	cho
ECK120002001	chpB	GENE	chpB
ECK120001225	chpS	GENE	chpS
ECK120000151	cirA	GENE	cirA
ECK120002951	citC	GENE	citC
ECK120002950	citD	GENE	citD
